iter	Passed	Remaining
946	29856	1670
947	29884	1639
948	29912	1607
949	29943	1575
950	29971	1544
951	29998	1512
952	30032	1481
953	30064	1449
954	30102	1418
955	30132	1386
956	30164	1355
957	30197	1323
958	30231	1292
959	30265	1261
960	30296	1229
961	30327	1197
962	30362	1166
963	30393	1135
964	30426	1103
965	30457	1071
966	30487	1040
967	30519	1008
968	30552	977
969	30580	945
970	30608	914
971	30652	883
972	30680	851
973	30710	819
974	30740	788
975	30768	756
976	30796	724
977	30825	693
978	30853	661
979	30886	630
980	30919	598
981	30949	567
982	30978	535
983	31007	504
984	31039	472
985	31070	441
986	31106	409
987	31141	378
988	31171	346
989	31208	315
990	31238	283
991	31269	252
992	31297	220
993	31324	189
994	31352	157
995	31381	126
996	31416	94
997	31450	63
998	31480	31
999	31509	0
