iter	Logloss
199	0.5364793007
200	0.5364098349
201	0.5363721898
202	0.5363313733
203	0.5362906983
204	0.5362450567
205	0.5361998273
206	0.5361545613
207	0.5361107453
208	0.5360642053
209	0.5360192302
210	0.5359633143
211	0.5358866653
212	0.5358677204
213	0.5358322588
214	0.5358045489
215	0.5357415579
216	0.5356804232
217	0.5356318868
218	0.5355748563
219	0.5355103769
220	0.5354807087
221	0.5354417424
222	0.5354030968
223	0.5353340598
224	0.5352921569
225	0.5352478432
226	0.5352069318
227	0.5351271394
228	0.5350858688
229	0.5350406738
230	0.5349808038
231	0.5349464323
232	0.5348940544
233	0.5348226591
234	0.5347049938
235	0.5346723496
236	0.5346416671
237	0.5345842709
238	0.5345128263
239	0.5344573174
240	0.5343808584
241	0.5343232303
242	0.5342888696
243	0.534226059
244	0.5341613533
245	0.5340846267
246	0.5340027384
247	0.5339603468
248	0.5339204472
249	0.5338635451
250	0.533821508
251	0.5337570871
252	0.5337295039
253	0.5336522147
254	0.5335818548
255	0.5335234934
256	0.5334769946
257	0.5334248182
258	0.5333583564
259	0.5332579919
260	0.5331803642
261	0.5331532581
262	0.5330458471
263	0.5330078081
264	0.5329701913
265	0.5329346645
266	0.5328966995
267	0.5328355457
268	0.53282369
269	0.5327598395
270	0.5327307608
271	0.5326638687
272	0.532652793
273	0.5326117996
274	0.5325621648
275	0.5325221107
276	0.532494196
277	0.5324426566
278	0.5324007365
279	0.5323182163
280	0.532285537
281	0.5322290794
282	0.5321785189
283	0.5321404845
284	0.5320951622
285	0.532071372
286	0.532038952
287	0.5319998912
288	0.531937826
289	0.5318951292
290	0.5318477069
291	0.5318152794
292	0.5317526019
293	0.531695422
294	0.5316285315
295	0.5316014862
296	0.5315608972
297	0.5314805834
298	0.5314145387
299	0.531412423
300	0.531363655
301	0.5312955038
302	0.5312295373
303	0.5311594144
304	0.531148621
305	0.5311166074
306	0.5310590522
307	0.5310123234
308	0.5309823664
309	0.5309813187
310	0.5309773979
311	0.5308973528
312	0.5308796103
313	0.5308274544
314	0.5307771574
315	0.5307156798
316	0.5306985227
317	0.5306702481
318	0.5306555497
319	0.5306367142
320	0.5305945171
321	0.5305704913
322	0.5305368126
323	0.5304892603
324	0.530488443
325	0.5304687091
326	0.530398292
327	0.5303177164
328	0.5303048763
329	0.5302530879
330	0.5302059167
331	0.5301637493
332	0.530094504
333	0.5300307735
334	0.529990838
335	0.5299584943
336	0.5299249265
337	0.5298391996
338	0.5298111938
339	0.5298036928
340	0.5297725701
341	0.5297113482
342	0.5296994717
343	0.5296468726
344	0.5295885813
345	0.5295550796
346	0.5295184477
347	0.5295050103
348	0.5294584097
349	0.5294073959
350	0.5293559004
351	0.5293516472
352	0.529302462
353	0.5292964828
354	0.5292751796
355	0.5292453866
356	0.5292219353
357	0.5292184534
358	0.5291812876
359	0.5291150803
360	0.529058291
361	0.5289971314
362	0.528962584
363	0.5288983731
364	0.5288621681
365	0.5288029656
366	0.5287711234
367	0.5286975027
368	0.5286587968
369	0.5286359338
370	0.5286113501
371	0.5285549168
372	0.5285328037
373	0.5285000082
374	0.5284651472
375	0.5284542628
376	0.5284101545
377	0.5283609752
378	0.528325409
379	0.5282596785
380	0.5282584285
381	0.5282050062
382	0.5281782045
383	0.5281470326
384	0.5280897292
385	0.5280735229
386	0.5280382994
387	0.5279506157
388	0.5279042248
389	0.5278644076
390	0.5278633849
391	0.5278191336
392	0.5277464719
393	0.5277009997
394	0.5276355627
395	0.5276038183
396	0.5275947538
397	0.5275931097
398	0.52754021
399	0.5274888106
400	0.5274405904
401	0.5273884652
402	0.5273333607
403	0.527297377
404	0.5272576632
405	0.5272403086
406	0.5272198062
407	0.5271929575
408	0.5271423085
409	0.5270759965
410	0.5270554
411	0.5269839246
412	0.5269573866
413	0.5269116337
414	0.5268942857
415	0.5268481726
416	0.5268089912
417	0.52680105
418	0.5267592098
419	0.5267307708
420	0.5266983929
421	0.5266635395
422	0.5266118975
423	0.5265757936
424	0.5265156334
425	0.5264547747
426	0.526426359
427	0.5264234722
428	0.5263814135
429	0.5263564509
430	0.5262879076
431	0.5262872638
432	0.526248056
433	0.526202301
434	0.5261321848
435	0.5260859214
436	0.5260677521
437	0.5260319164
438	0.5260312595
439	0.5259881957
440	0.5259324438
441	0.5259285517
442	0.525920276
443	0.5258803207
444	0.5258535726
445	0.5258113448
446	0.5257567158
447	0.5256991818
448	0.5256702984
449	0.525632887
450	0.5255938912
451	0.525555863
452	0.5255293162
453	0.5254816728
454	0.5254546061
455	0.5254401462
456	0.5253951766
457	0.5253411454
458	0.5253061856
459	0.5252582865
460	0.5252323367
461	0.5251732453
462	0.5251019383
463	0.5250515212
464	0.5250246041
465	0.524986718
466	0.5249330731
467	0.5248864114
468	0.5248616884
469	0.5248316218
470	0.5248048196
471	0.52473746
472	0.5247127716
473	0.5246999159
474	0.5246944004
475	0.5246708019
476	0.5246633292
477	0.5246080953
478	0.5246066612
479	0.5245673639
480	0.5245210193
481	0.5244619968
482	0.5244255603
483	0.5244017088
484	0.5243983309
485	0.5243812924
486	0.5243573389
487	0.5243112527
488	0.5242732148
489	0.5242357418
490	0.5242084161
491	0.5241572219
492	0.5241266441
493	0.5240837913
494	0.524054793
495	0.5240401104
496	0.5239771998
497	0.5239370532
498	0.5239356051
499	0.5239350435
500	0.5239062841
501	0.5238812917
502	0.5238471168
503	0.5238109618
504	0.5237765806
505	0.5237524901
506	0.5236712616
507	0.5236495262
508	0.5236315024
509	0.5235792018
510	0.52356952
511	0.5235242147
512	0.5234755287
513	0.5234210795
514	0.5233686156
515	0.5233246033
516	0.5232793669
517	0.5232446131
518	0.5232247797
519	0.5232012673
520	0.523162633
521	0.5231494965
522	0.5231014201
523	0.5230615708
524	0.523029874
525	0.5229716552
526	0.522922954
527	0.522889282
528	0.5228355668
529	0.5227913469
530	0.522760316
531	0.5226933525
532	0.5226294446
533	0.5226137756
534	0.5225883951
535	0.5225494803
536	0.5224931883
537	0.5224524284
538	0.5224025555
539	0.522378284
540	0.5223228103
541	0.5222864835
542	0.5222634595
543	0.5222219566
544	0.5221844397
545	0.5221594978
546	0.5220932439
547	0.5220717074
548	0.5220190991
549	0.5220133369
550	0.5219737279
551	0.5219688201
552	0.5219582645
553	0.5219378341
554	0.5219165032
555	0.52188508
556	0.5218328713
557	0.5217987586
558	0.5217437184
559	0.5217256555
560	0.5216892144
561	0.521638208
562	0.5215633758
563	0.5215370247
564	0.5214841362
565	0.5214515213
566	0.5214024951
567	0.5213690072
568	0.521351162
569	0.5213262274
570	0.5212705714
571	0.5212245489
572	0.5211954325
573	0.5211574911
574	0.5211070943
575	0.5210444381
576	0.5210127891
577	0.5209473003
578	0.5209202067
579	0.5208743701
580	0.5208050058
581	0.5207855881
582	0.520746384
583	0.5207188391
584	0.5206778587
585	0.5206415721
586	0.5206324745
587	0.5206218384
588	0.5206168969
589	0.5205677371
590	0.5205066363
591	0.5204752373
592	0.5204298887
593	0.5203803209
594	0.5203257568
595	0.5203253429
596	0.520283702
597	0.5202476621
598	0.520244472
599	0.5202015985
600	0.5201509395
601	0.5201128404
602	0.5200778489
603	0.5200296179
604	0.5199942689
605	0.5199571138
606	0.5199564934
607	0.5199184527
608	0.5198750152
609	0.5198451404
610	0.5198260217
611	0.519802397
612	0.5197611494
613	0.5197066354
614	0.5196642923
615	0.5196091986
616	0.5195838295
617	0.5195712829
618	0.5195553861
619	0.5195459212
620	0.5195218224
621	0.5195211531
622	0.5194825321
623	0.5194708475
624	0.5194161064
625	0.5193708563
626	0.519319955
627	0.5193070808
628	0.5192623342
629	0.5191940286
630	0.5191938127
631	0.519160031
632	0.5191412201
633	0.5191059532
634	0.5190699511
635	0.519038419
636	0.5190108006
637	0.5189939569
638	0.5189683007
639	0.5189356372
640	0.518904682
641	0.5188587151
642	0.5188256668
643	0.5187668178
644	0.5187193647
645	0.5186784164
646	0.5186399961
647	0.518600652
648	0.5185455563
649	0.5185022537
650	0.5184629257
651	0.5184289992
652	0.5183870948
653	0.5183812821
654	0.5183716824
655	0.5183713795
656	0.5183159581
657	0.5182966404
658	0.518277108
659	0.5182761895
660	0.5182156049
661	0.5181826915
662	0.5181556416
663	0.5181102644
664	0.5180763609
665	0.5180489644
666	0.5180054759
667	0.5179929832
668	0.517956423
669	0.5179256482
670	0.5178878468
671	0.5178245686
672	0.5177943499
673	0.5177937206
674	0.5177447914
675	0.517684317
676	0.5176474512
677	0.5176465484
678	0.5176427274
679	0.5176309213
680	0.5175976386
681	0.517546753
682	0.5175462087
683	0.5175179387
684	0.5174793181
685	0.5174194385
686	0.5173885406
687	0.5173303082
688	0.5173033247
689	0.517277459
690	0.5172332025
691	0.5172110909
692	0.5171539905
693	0.5171518455
694	0.5171079447
695	0.5171074937
696	0.517072893
697	0.5170534851
698	0.5169999328
699	0.5169871004
700	0.5169604572
701	0.5169196554
702	0.516863
703	0.516811307
704	0.516787368
705	0.5167176954
706	0.5166823328
707	0.5166641253
708	0.5166283464
709	0.5165429574
710	0.5164989581
711	0.5164942991
712	0.5164519492
713	0.5164121132
714	0.5163655392
715	0.5163224983
716	0.5162544517
717	0.5162464545
718	0.5162210766
719	0.5162046458
720	0.5161931746
721	0.5161931173
722	0.5161660027
723	0.5161435551
724	0.5160956535
725	0.5160476325
726	0.5160275023
727	0.5159900152
728	0.515945694
729	0.5159452326
730	0.5159109489
731	0.5158745799
732	0.515874055
733	0.5158540511
734	0.5158284767
735	0.5158017817
736	0.5157858127
737	0.5157394713
738	0.5157275727
739	0.5157201346
740	0.5156999197
741	0.5156807555
742	0.5156586704
743	0.5156111431
744	0.515601583
745	0.5155500608
746	0.5154918411
747	0.5154458448
748	0.515442823
749	0.5154064526
750	0.5153980586
751	0.5153895226
752	0.5153541138
753	0.515324258
754	0.5153022718
755	0.5152652518
756	0.5152318632
757	0.5151756193
758	0.5151462512
759	0.5150994169
760	0.5150677184
761	0.515021055
762	0.5149687736
763	0.5149401274
764	0.5148841325
765	0.5148402391
766	0.5148040839
767	0.5147729556
768	0.514714778
769	0.5146793656
770	0.5146486519
771	0.5146298261
772	0.5146130648
773	0.5145820993
774	0.5145633095
775	0.5145306695
776	0.5145136242
777	0.514492337
778	0.5144515239
779	0.5144370787
780	0.5144365536
781	0.5143789233
782	0.5143446126
783	0.5142840979
784	0.5142352671
785	0.5141924455
786	0.5141463897
787	0.5141129792
788	0.5140712361
789	0.5140281007
790	0.5140038614
791	0.5139701957
792	0.5139495168
793	0.5139375387
794	0.5138881062
795	0.5138878443
796	0.5138458595
797	0.5138030074
798	0.5137705979
799	0.5137464982
800	0.5137258897
801	0.5136997553
802	0.5136543484
803	0.5136244148
804	0.5135711864
805	0.5135403558
806	0.5135130584
807	0.5134911445
808	0.5134378563
809	0.5133935404
810	0.5133830767
811	0.5133173378
812	0.5133170802
813	0.5132999657
814	0.513283346
815	0.5132653458
816	0.5132212207
817	0.513190672
818	0.5131671594
819	0.5131569973
820	0.5131464887
821	0.513116869
822	0.5130950431
823	0.5130518514
824	0.5130307983
825	0.5129846404
826	0.512952072
827	0.512922056
828	0.5128882621
829	0.5128518164
830	0.5128219708
831	0.5128163822
832	0.5127780399
833	0.512751546
834	0.5127305039
835	0.5126978266
836	0.5126741175
837	0.512661209
838	0.5126169357
839	0.5125560345
840	0.5125554201
841	0.5125531722
842	0.5125151442
843	0.5124888027
844	0.5124540411
845	0.5124075043
846	0.5123722135
847	0.5123719535
848	0.5123652841
849	0.51234891
850	0.5123196574
851	0.5122965185
852	0.5122617812
853	0.5121956817
854	0.5121766863
855	0.5121580226
856	0.5121162303
857	0.5120907331
858	0.5120431273
859	0.5120185664
860	0.5119796238
861	0.5119529742
862	0.5119276939
863	0.5119228081
864	0.5118910496
865	0.5118468126
866	0.5118204286
867	0.5117748477
868	0.511759112
869	0.511749036
870	0.5116877625
871	0.5116856856
872	0.5116529955
873	0.5116251544
874	0.5116061385
875	0.5115864684
876	0.5115296309
877	0.5115241756
878	0.5114930694
879	0.5114207278
880	0.5113818497
881	0.5113304669
882	0.5113279386
883	0.5112844458
884	0.5112625694
885	0.5112400414
886	0.5112297478
887	0.5112006525
888	0.511183164
889	0.511121773
890	0.5111129197
891	0.5110941307
892	0.5110407586
893	0.5110245957
894	0.5110233056
895	0.5110037514
896	0.5109495003
897	0.5109295866
898	0.510884369
899	0.5108787263
900	0.510843582
901	0.5108236479
902	0.5108056624
903	0.5107657181
904	0.5106992814
905	0.5106688383
906	0.5106365891
907	0.5106335755
908	0.5106088974
909	0.5105680629
910	0.5105307228
911	0.5105023647
912	0.5104509152
913	0.510406405
914	0.5103810708
915	0.5103727177
916	0.5103402919
917	0.5103003722
918	0.5102756676
919	0.5102323803
920	0.5102247751
921	0.510208725
922	0.5101595283
923	0.5101321318
924	0.5100826317
925	0.5100470018
926	0.5100303304
927	0.5100297682
928	0.5099914269
929	0.509934121
930	0.5098936635
931	0.5098583162
932	0.5098421063
933	0.5097861128
934	0.5097444917
935	0.5097210184
936	0.5096846724
937	0.5096746661
938	0.5096513509
939	0.509608428
940	0.5095716143
941	0.5095195336
942	0.5094859864
943	0.5094482911
944	0.5094339721
945	0.5093777842
946	0.5093503773
947	0.5093060458
948	0.5092714227
949	0.50922806
950	0.5091918135
951	0.509149815
952	0.5091244919
953	0.5090638421
954	0.5090275731
955	0.5089704594
956	0.5089275441
957	0.5089098071
958	0.5088756444
959	0.5088538502
960	0.5088142675
961	0.508800598
962	0.5087715192
963	0.508749222
964	0.50873123
965	0.5086840031
966	0.5086291922
967	0.5085715796
968	0.5085506575
969	0.5085502889
970	0.5085384418
971	0.5085226744
972	0.5084907138
973	0.5084495127
974	0.5084307249
975	0.5084035771
976	0.5083824759
977	0.5083512371
978	0.5083037859
979	0.5082606439
980	0.5082186173
981	0.5081642386
982	0.5081214258
983	0.5081039265
984	0.5080707688
985	0.5080480213
986	0.5079878619
987	0.5079628657
988	0.5079306264
989	0.5079082852
990	0.5078523409
991	0.5078285184
992	0.507765069
993	0.5077489796
994	0.5077257556
995	0.5077001112
996	0.5076844371
997	0.5076296392
998	0.5075911037
999	0.5075681374
